hour,fold,mae,mae_lasso_only,rmse,mape,directional_accuracy,n_test,n_test_excluded_storm
16,5,7.196,10.518,10.966,24.747,80.52,155,0
16,6,5.166,7.564,7.727,17.281,90.26,155,0
16,7,5.69,9.49,8.095,74.422,74.68,155,0
16,8,6.27,9.918,9.185,42.74,88.96,155,0
16,9,4.844,8.273,6.808,42.079,87.01,155,0
16,10,7.42,8.725,9.108,110.753,79.87,155,0
16,11,6.941,7.602,8.603,46.879,83.82,137,18
17,0,4.669,12.224,7.938,58.096,85.06,155,0
17,1,6.264,12.833,10.286,19.035,89.61,155,0
17,2,16.27,19.114,23.831,91.456,87.01,155,0
17,3,16.831,25.585,20.428,45.33,81.82,155,0
17,4,9.268,14.216,13.136,17.655,90.91,155,0
17,5,8.486,13.093,11.555,37.743,81.82,155,0
17,6,5.306,8.892,7.352,14.593,87.66,155,0
17,7,5.031,9.55,7.955,44.152,77.92,155,0
17,8,5.614,9.64,7.956,32.606,88.96,155,0
17,9,4.482,8.792,6.878,32.071,87.01,155,0
17,10,7.413,9.502,9.729,78.085,79.22,155,0
17,11,8.323,9.357,10.843,51.338,75.74,137,18
18,0,4.208,13.247,8.065,36.924,83.77,155,0
18,1,5.801,12.243,8.208,5.061,85.06,155,0
18,2,15.163,19.855,23.787,38.025,79.87,155,0
18,3,12.579,17.647,15.862,14.197,85.06,155,0
18,4,10.596,15.594,15.448,13.188,81.82,155,0
18,5,10.288,14.362,13.151,45.991,79.22,155,0
18,6,5.713,8.255,8.787,12.101,88.96,155,0
18,7,6.768,9.162,9.786,66.103,76.62,155,0
18,8,7.421,10.276,9.944,38.672,84.42,155,0
18,9,6.799,10.046,10.057,32.148,83.12,155,0
18,10,9.771,11.594,12.815,66.742,81.17,155,0
18,11,9.234,10.542,11.555,32.848,80.15,137,18
19,0,3.113,8.252,5.647,7.157,84.42,155,0
19,1,5.279,15.094,7.974,3.431,81.82,155,0
19,2,13.865,18.829,22.666,8.483,80.52,155,0
19,3,13.189,17.357,16.632,8.847,83.12,155,0
19,4,12.055,16.761,19.375,9.384,77.92,155,0
19,5,8.115,11.641,11.876,24.117,79.22,155,0
19,6,5.606,7.993,7.85,5.95,89.61,155,0
19,7,6.432,9.747,9.751,34.979,84.42,155,0
19,8,5.713,9.302,8.631,9.554,87.01,155,0
19,9,7.959,12.639,12.058,21.971,87.01,155,0
19,10,8.052,10.096,10.941,30.284,81.82,155,0
19,11,10.554,11.715,14.117,24.712,81.62,137,18
20,0,2.693,4.866,4.095,10.339,87.66,155,0
20,1,5.337,7.258,7.098,3.251,79.22,155,0
20,2,11.519,14.628,17.665,4.494,77.92,155,0
20,3,9.577,12.275,12.9,5.164,80.52,155,0
20,4,8.443,12.296,13.084,6.402,79.22,155,0
20,5,4.513,7.794,7.274,4.765,87.66,155,0
20,6,6.674,8.593,10.468,7.203,84.42,155,0
20,7,6.604,11.245,12.69,22.232,83.77,155,0
20,8,5.564,9.14,8.215,4.829,85.06,155,0
20,9,7.267,11.116,11.264,11.684,87.66,155,0
20,10,9.34,13.007,12.784,9.947,80.52,155,0
20,11,10.17,10.183,14.022,12.756,84.56,137,18
21,0,2.248,4.21,3.318,7.036,85.71,155,0
21,1,4.347,7.182,6.791,2.576,77.92,155,0
21,2,11.625,13.479,17.93,4.561,78.57,155,0
21,3,10.531,14.742,14.449,5.145,77.92,155,0
21,4,7.335,9.36,10.729,6.926,87.66,155,0
21,5,5.602,8.866,8.026,5.272,77.27,155,0
21,6,4.709,6.526,7.093,5.949,88.31,155,0
21,7,6.973,10.347,10.362,17.357,84.42,155,0
21,8,6.08,9.46,8.386,5.253,83.77,155,0
21,9,6.5,9.698,9.872,8.092,85.06,155,0
21,10,10.59,13.586,14.672,9.046,85.06,155,0
21,11,8.486,8.975,10.819,10.541,84.56,137,18
22,0,2.849,7.031,3.867,7.936,81.17,155,0
22,1,4.497,9.923,8.511,2.783,85.06,155,0
22,2,12.26,14.706,19.675,5.199,81.17,155,0
22,3,8.408,12.931,11.781,4.569,81.17,155,0
22,4,7.603,10.111,11.371,11.921,79.22,155,0
