# Source: yfinance KRBN (scaled proxy) | Downloaded: 2026-05-06T08:34:38.533298
date,eua_co2
2022-06-03,81.88707065582275
2022-06-06,78.93690376281738
2022-06-07,78.08935146331787
2022-06-08,78.23604717254639
2022-06-09,77.66557083129884
2022-06-10,78.13824405670167
2022-06-13,76.06825141906738
2022-06-14,76.7202154159546
2022-06-15,78.48052806854248
2022-06-16,76.9321102142334
2022-06-17,75.92156467437745
2022-06-21,77.71446342468262
2022-06-22,75.5629831314087
2022-06-23,76.16604557037354
2022-06-24,76.2964527130127
2022-06-27,76.55723114013672
2022-06-28,78.44792404174805
2022-06-29,78.67611637115479
2022-06-30,80.24084072113037
2022-07-01,78.83910961151123
2022-07-05,75.6770658493042
2022-07-06,75.84005908966064
2022-07-07,76.41053543090821
2022-07-08,75.64447078704835
2022-07-11,75.36739482879639
2022-07-12,75.758571434021
2022-07-13,74.38944435119629
2022-07-14,73.98195676803589
2022-07-15,74.61762771606446
2022-07-18,74.22645111083985
2022-07-19,74.81321601867675
2022-07-20,71.21109857559205
2022-07-21,71.3740873336792
2022-07-22,69.61377468109131
2022-07-25,69.988653755188
2022-07-26,69.287797164917
2022-07-27,70.23315258026123
2022-07-28,71.4392864227295
2022-07-29,71.78156595230102
2022-08-01,73.36259231567384
2022-08-02,74.17753610610963
2022-08-03,75.82376155853272
2022-08-04,76.31273231506349
2022-08-05,76.54092464447022
2022-08-08,76.459428024292
2022-08-09,78.00785484313965
2022-08-10,79.49108257293702
2022-08-11,80.35494136810303
2022-08-12,80.90912017822266
2022-08-15,80.84391212463379
2022-08-16,81.67517585754395
2022-08-17,84.10375003814697
2022-08-18,84.03855094909669
2022-08-19,84.1852466583252
2022-08-22,80.28973331451417
2022-08-23,78.96950778961182
2022-08-24,77.33959331512452
2022-08-25,76.37794036865235
2022-08-26,77.09510345458985
2022-08-29,74.69912433624268
2022-08-30,71.53707609176637
2022-08-31,71.34148778915406
2022-09-01,70.91770715713501
2022-09-02,69.80937643051148
2022-09-06,64.77292385101319
2022-09-07,64.69142723083496
2022-09-08,62.91481704711914
2022-09-09,62.882221984863286
2022-09-12,66.9896077156067
2022-09-13,64.60993061065675
2022-09-14,66.23984956741333
2022-09-15,66.46803741455078
2022-09-16,66.89182252883911
2022-09-19,64.95221014022827
2022-09-20,64.77292385101319
2022-09-21,62.98001613616944
2022-09-22,63.30599813461304
2022-09-23,59.49198589324951
2022-09-26,60.86112642288208
2022-09-27,60.04616022109985
2022-09-28,59.4431022644043
2022-09-29,60.078759765625
2022-09-30,60.63294305801392
2022-10-03,61.38269672393799
2022-10-04,62.24655103683472
2022-10-05,61.692367744445804
2022-10-06,62.84962244033814
2022-10-07,62.65402965545655
2022-10-10,61.447895812988286
2022-10-11,61.30120010375977
2022-10-12,61.43158483505249
2022-10-13,63.32229566574097
2022-10-14,62.14876136779785
2022-10-17,62.23024454116822
2022-10-18,62.50733394622803
2022-10-19,61.35009717941284
2022-10-20,61.089314270019536
2022-10-21,63.09410781860352
2022-10-24,65.11520338058472
2022-10-25,68.13055591583252
2022-10-26,68.16315097808838
2022-10-27,70.722123336792
2022-10-28,71.58597764968873
2022-10-31,70.722123336792
2022-11-01,68.78251991271974
2022-11-02,67.82087144851685
2022-11-03,67.03851375579835
2022-11-04,68.21205253601075
2022-11-07,69.04330730438232
2022-11-08,68.27725162506104
2022-11-09,66.04426126480102
