# Source: REN Data Hub (Consumo) | Downloaded: 2026-05-13T08:52:18.656252
date,demand_pt
2020-12-07,6133.0090773809525
2020-12-14,6275.475892857143
2020-12-21,6344.550446428572
2020-12-28,5711.4232142857145
2021-01-04,6116.13199404762
2021-01-11,7346.436458333333
2021-01-18,7114.3398809523815
2021-01-25,6591.523958333333
2021-02-01,6057.060863095238
2021-02-08,6147.982291666667
2021-02-15,5964.7827380952385
2021-02-22,5863.326190476191
2021-03-01,5763.750744047619
2021-03-08,5584.614434523809
2021-03-15,5501.278273809524
2021-03-22,5357.4125
2021-03-29,5376.154191616766
2021-04-05,4969.71175595238
2021-04-12,5201.061607142857
2021-04-19,5229.605654761905
2021-04-26,5300.883779761904
2021-05-03,5244.754464285715
2021-05-10,5267.395535714286
2021-05-17,5364.380654761904
2021-05-24,5306.741666666667
2021-05-31,5328.133333333333
2021-06-07,5145.518303571428
2021-06-14,5310.900595238096
2021-06-21,5440.835267857143
2021-06-28,5351.116964285715
2021-07-05,5468.798809523809
2021-07-12,5532.411309523809
2021-07-19,5645.210267857143
2021-07-26,5526.7982142857145
2021-08-02,5481.043005952381
2021-08-09,5314.409375
2021-08-16,5348.377380952381
2021-08-23,5287.7125
2021-08-30,5362.644940476191
2021-09-06,5541.143898809524
2021-09-13,5683.989434523809
2021-09-20,5493.524107142857
2021-09-27,5505.418898809524
2021-10-04,5407.878273809524
2021-10-11,5332.4543154761905
2021-10-18,5512.748065476191
2021-10-25,5429.766220238095
2021-11-01,5395.985502958581
2021-11-08,5702.809226190476
2021-11-15,5807.52425595238
2021-11-22,5955.874851190476
2021-11-29,6422.2017857142855
2021-12-06,6361.094494047619
2021-12-13,6262.176488095238
2021-12-20,6355.814434523809
2021-12-27,5636.959226190476
2022-01-03,5266.860119047619
2022-01-10,6261.4361607142855
2022-01-17,6352.317261904762
2022-01-24,6503.924553571428
2022-01-31,6349.71011904762
2022-02-07,6176.976190476191
2022-02-14,6120.8813988095235
2022-02-21,6240.428571428572
2022-02-28,5943.047023809524
2022-03-07,5909.647321428572
2022-03-14,6145.058184523809
2022-03-21,5989.499851190476
2022-03-28,5932.85254491018
2022-04-04,5713.106101190476
2022-04-11,5842.969047619048
2022-04-18,5264.877827380952
2022-04-25,5552.049107142857
2022-05-02,5469.813244047619
2022-05-09,5400.872767857143
2022-05-16,5410.416517857143
2022-05-23,5480.191815476191
2022-05-30,5521.535119047619
2022-06-06,5497.67886904762
2022-06-13,5571.796130952381
2022-06-20,5483.1002976190475
2022-06-27,5437.818452380952
2022-07-04,5536.587797619048
2022-07-11,5951.517857142857
2022-07-18,6272.164732142857
2022-07-25,5923.102083333333
2022-08-01,5933.450744047619
2022-08-08,5720.373363095238
2022-08-15,5196.479464285714
2022-08-22,5172.211011904762
2022-08-29,5398.44375
2022-09-05,5381.596726190476
2022-09-12,5613.511309523809
2022-09-19,5540.140773809524
2022-09-26,5537.134821428572
2022-10-03,5384.251934523809
2022-10-10,5344.887053571429
2022-10-17,5474.24300595238
2022-10-24,5592.206547619047
2022-10-31,5554.6886094674555
2022-11-07,5428.614136904762
2022-11-14,5611.551934523809
2022-11-21,5914.305803571428
2022-11-28,6042.421279761905
2022-12-05,6161.648809523809
2022-12-12,6115.474851190476
2022-12-19,6255.285416666667
2022-12-26,5696.457589285715
2023-01-02,5465.510863095238
2023-01-09,6379.007589285714
2023-01-16,6353.193601190475
2023-01-23,6628.406845238096
2023-01-30,6878.148363095238
2023-02-06,6625.494345238096
2023-02-13,6495.723065476191
2023-02-20,6013.454166666667
2023-02-27,6133.289583333333
2023-03-06,6484.987351190476
2023-03-13,6020.4440476190475
2023-03-20,5739.338839285714
2023-03-27,5661.234880239521
2023-04-03,5535.924702380952
2023-04-10,5059.520386904762
2023-04-17,5431.065922619047
2023-04-24,5333.16488095238
2023-05-01,5075.7486607142855
2023-05-08,5350.214136904762
2023-05-15,5303.8946428571435
2023-05-22,5338.112648809524
2023-05-29,5408.151934523809
2023-06-05,5391.865327380952
2023-06-12,5224.083035714286
2023-06-19,5580.620089285714
2023-06-26,5688.794345238095
2023-07-03,5891.8891369047615
2023-07-10,5695.885863095238
2023-07-17,5653.9205357142855
2023-07-24,5587.1547619047615
2023-07-31,5583.750595238095
2023-08-07,5665.279315476191
2023-08-14,5514.640029761905
2023-08-21,5214.751636904762
2023-08-28,5587.826339285714
2023-09-04,5456.438541666667
2023-09-11,5610.2668154761905
2023-09-18,5573.102529761904
2023-09-25,5410.137946428572
2023-10-02,5562.971875
2023-10-09,5400.4752976190475
2023-10-16,5664.769940476191
2023-10-23,5615.089583333333
2023-10-30,5821.545118343195
2023-11-06,5711.909672619047
2023-11-13,6051.802380952381
2023-11-20,5867.112351190476
2023-11-27,6133.653869047619
2023-12-04,6238.234672619048
2023-12-11,6458.282142857142
2023-12-18,6471.166220238096
2023-12-25,6390.193601190475
2024-01-01,6091.913839285715
2024-01-08,6723.0952380952385
2024-01-15,7086.730803571428
2024-01-22,6604.934523809524
2024-01-29,6219.927083333333
2024-02-05,6040.311755952381
2024-02-12,6315.831547619047
2024-02-19,5851.027380952381
2024-02-26,6193.864880952381
2024-03-04,6441.674999999999
2024-03-11,6516.1522321428565
2024-03-18,6011.723660714286
2024-03-25,5688.9700892857145
2024-04-01,5956.694910179641
2024-04-08,5851.762202380953
2024-04-15,5471.382440476191
2024-04-22,5329.577529761905
2024-04-29,5187.563541666667
2024-05-06,5524.427529761904
2024-05-13,5436.070238095238
2024-05-20,5533.640178571429
2024-05-27,5437.855208333333
2024-06-03,5375.641369047619
2024-06-10,5488.354761904762
2024-06-17,5454.593601190476
2024-06-24,5453.261755952381
2024-07-01,5627.133928571428
2024-07-08,5722.875744047619
2024-07-15,5700.645982142857
2024-07-22,5679.911309523809
2024-07-29,6005.218005952381
2024-08-05,5755.584821428572
2024-08-12,5699.8918154761905
2024-08-19,5361.322023809524
2024-08-26,5438.2434523809525
2024-09-02,5551.512053571429
2024-09-09,5573.721726190476
2024-09-16,5695.463988095238
2024-09-23,5768.200446428572
2024-09-30,5691.7303571428565
2024-10-07,5905.625744047619
2024-10-14,5712.697172619048
2024-10-21,5765.426488095238
2024-10-28,5730.408727810651
2024-11-04,5649.826190476191
2024-11-11,5777.327529761905
2024-11-18,6008.075148809524
2024-11-25,6093.830357142857
2024-12-02,6037.933928571429
2024-12-09,6232.642410714286
2024-12-16,6813.834226190475
2024-12-23,6553.25505952381
2024-12-30,5658.699404761905
2025-01-06,6265.05550595238
2025-01-13,6653.2827380952385
2025-01-20,6978.359375
2025-01-27,6769.183928571428
2025-02-03,6751.687648809523
2025-02-10,6706.509077380952
2025-02-17,6572.299404761905
2025-02-24,6425.764732142858
2025-03-03,6375.578869047619
2025-03-10,6442.1577380952385
2025-03-17,6444.94806547619
2025-03-24,6489.240178571429
2025-03-31,5860.531886227544
2025-04-07,5814.2043154761905
2025-04-14,5637.658630952381
2025-04-21,5683.704166666667
2025-04-28,4975.461904761904
2025-05-05,5258.009821428572
2025-05-12,5455.91324404762
2025-05-19,5500.518898809524
2025-05-26,5468.256101190476
2025-06-02,5695.067410714286
2025-06-09,5619.2928571428565
2025-06-16,5574.5950892857145
2025-06-23,5705.014583333333
2025-06-30,6039.005505952381
2025-07-07,6258.541369047619
2025-07-14,5967.336904761904
2025-07-21,5803.682738095238
2025-07-28,5824.581398809524
2025-08-04,6222.114880952381
2025-08-11,6008.081547619047
2025-08-18,5758.994494047619
2025-08-25,5422.473214285715
2025-09-01,5510.896279761904
2025-09-08,5729.536458333333
2025-09-15,5815.750892857143
2025-09-22,5865.535119047619
2025-09-29,5703.927529761904
2025-10-06,5734.822470238096
2025-10-13,5756.797916666667
2025-10-20,5838.472916666667
2025-10-27,5959.7284023668635
2025-11-03,5919.881101190476
2025-11-10,6046.395684523809
2025-11-17,6266.857440476191
2025-11-24,6572.790922619048
2025-12-01,6628.795089285714
2025-12-08,6764.796428571429
2025-12-15,6753.6758928571435
2025-12-22,7028.418303571428
2025-12-29,6350.725
2026-01-05,6432.602827380952
2026-01-12,7437.603422619048
2026-01-19,7409.484672619048
2026-01-26,7746.027976190476
2026-02-02,6976.320089285714
2026-02-09,7188.365327380952
2026-02-16,6990.101041666667
2026-02-23,6515.62261904762
2026-03-02,6418.537946428572
2026-03-09,6584.497321428572
2026-03-16,6567.300173611111
