Date;Price;Open;High;Low;Vol.;Change %
01/05/2025;66,57;66,57;66,57;66,57;;0,00%
30/04/2025;66,57;66,57;66,57;66,57;;-14,59%
29/04/2025;77,94;77,94;77,94;77,94;;-0,10%
28/04/2025;78,02;78,02;78,02;78,02;;-0,84%
25/04/2025;78,68;78,68;78,68;78,68;;-1,24%
24/04/2025;79,67;79,67;79,67;79,67;;0,01%
23/04/2025;79,66;79,66;79,66;79,66;;0,28%
22/04/2025;79,44;79,44;79,44;79,44;;5,55%
21/04/2025;75,26;75,26;75,26;75,26;;0,00%
17/04/2025;75,26;75,26;75,26;75,26;;0,15%
16/04/2025;75,15;75,15;75,15;75,15;;3,87%
15/04/2025;72,35;72,35;72,35;72,35;;-0,37%
14/04/2025;72,62;72,62;72,62;72,62;;6,08%
11/04/2025;68,46;68,46;68,46;68,46;;1,75%
04/04/2025;67,28;67,28;67,28;67,28;;-1,81%
03/04/2025;68,52;68,52;68,52;68,52;;-4,63%
02/04/2025;71,85;71,85;71,85;71,85;;-3,70%
01/04/2025;74,61;74,61;74,61;74,61;;-2,56%
31/03/2025;76,57;76,57;76,57;76,57;;-18,70%
28/03/2025;94,18;94,18;94,18;94,18;;-0,44%
27/03/2025;94,6;94,6;94,6;94,6;;-0,59%
26/03/2025;95,16;95,16;95,16;95,16;;0,87%
25/03/2025;94,34;94,34;94,34;94,34;;-0,52%
24/03/2025;94,83;94,83;94,83;94,83;;-0,67%
21/03/2025;95,47;95,47;95,47;95,47;;-0,55%
20/03/2025;96;96;96;96;;0,37%
14/03/2025;95,65;95,65;95,65;95,65;;1,25%
13/03/2025;94,47;94,47;94,47;94,47;;1,77%
12/03/2025;92,83;92,83;92,83;92,83;;-1,09%
11/03/2025;93,85;93,85;93,85;93,85;;-0,91%
10/03/2025;94,71;94,71;94,71;94,71;;0,45%
07/03/2025;94,29;94,29;94,29;94,29;;0,67%
06/03/2025;93,66;93,66;93,66;93,66;;-2,07%
05/03/2025;95,64;95,64;95,64;95,64;;-1,01%
04/03/2025;96,62;96,62;96,62;96,62;;-0,77%
03/03/2025;97,37;97,37;97,37;97,37;;6,33%
28/02/2025;91,57;91,57;91,57;91,57;;-28,75%
27/02/2025;128,52;128,52;128,52;128,52;;0,03%
26/02/2025;128,48;128,48;128,48;128,48;;-0,29%
25/02/2025;128,85;128,85;128,85;128,85;;-0,05%
24/02/2025;128,92;128,92;128,92;128,92;;-0,13%
21/02/2025;129,09;129,09;129,09;129,09;;3,12%
20/02/2025;125,19;125,19;125,19;125,19;;1,17%
19/02/2025;123,74;123,74;123,74;123,74;;-0,23%
18/02/2025;124,03;124,03;124,03;124,03;;-2,45%
